,X_train (sequence),y_train
59,"0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264",0.026
60,"0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026",0.0237
61,"0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237",0.0238
62,"0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238",0.0227
63,"0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227",0.0271
64,"0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271",0.0388
65,"0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388",0.0419
66,"0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419",0.0423
67,"0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423",0.0414
68,"0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414",0.0412
69,"0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412",0.046
70,"0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046",0.0494
71,"0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494",0.0469
72,"0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469",0.046
73,"0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046",0.0461
74,"0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461",0.0538
75,"0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538",0.0452
76,"0.0243,0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452",0.049
77,"0.026,0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049",0.0478
78,"0.0263,0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478",0.0469
79,"0.0264,0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469",0.0473
80,"0.0252,0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473",0.0441
81,"0.0281,0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441",0.0395
82,"0.0264,0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395",0.0388
83,"0.026,0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388",0.0378
84,"0.0237,0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378",0.0378
85,"0.0238,0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378",0.0354
86,"0.0227,0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354",0.0355
